"beta0","beta1","beta2","beta3","tau","tau2","TIME_PERIOD","Type"
2.01741263639713,-1.40929756810378,0.146155255082092,9.83882824463486,0.210718334247094,172.00030503658,12667,"AAA"
2.05908192076039,-1.23153088360772,-0.00226360132822822,9.65590827510995,0.302272596301326,171.443576479354,12668,"AAA"
2.07958275229847,-2.10873724383696,0.00591973623765982,9.6041473588783,0.20438312576741,169.617575944762,12669,"AAA"
2.04173287904386,-1.37675108720247,0.024559225482297,9.60842476884136,0.237373303778237,174.690792532423,12670,"AAA"
1.99625426556134,-1.33052866335172,0.355293274915994,9.66531104664849,0.185748550406173,176.707302500757,12671,"AAA"
2.04285970829956,-1.35271386845187,-0.0392729829033974,9.54509876874364,0.219250138575717,176.334035892097,12674,"AAA"
2.02907811975511,-1.40100808464418,0.0996661716974454,9.58562310474555,0.208866677550042,177.076173466485,12675,"AAA"
2.03111031813961,-1.4495731754612,0.100851534065234,9.55849192509927,0.199084697453187,176.789256761567,12676,"AAA"
2.04424912333698,-1.38395874833398,0.0472129138327565,9.48893364862859,0.215249982132662,176.131713361285,12677,"AAA"
2.01112621493923,-1.31530060156078,0.378214358786742,9.53132768718807,0.182629139175471,177.971293026874,12678,"AAA"
2.01488053538435,-1.33532310870675,0.309000087869588,9.45573357389696,0.187099967329677,178.615597004655,12681,"AAA"
2.02790293543209,-1.36655667855651,-0.114416330662458,9.4304785187298,0.148953388069378,178.497409851957,12682,"AAA"
2.03044156948786,-1.33690978917494,0.214468901602719,9.33561729988077,0.193189907948669,178.968608145568,12683,"AAA"
1.97864615003805,-1.15030047159904,0.528017847097003,9.34070585581005,0.116794783999487,183.266544589264,12684,"AAA"
2.01947987579148,-1.25822872909394,0.331934174971347,9.28793889206627,0.172075946316867,180.199123001361,12685,"AAA"
2.00720407931818,-1.19065862542102,0.487882636734935,9.26934833062711,0.176902696807319,182.152524184787,12688,"AAA"
1.99902628473632,-1.12460991630652,0.519605071204291,9.28603487654708,0.174779485768284,180.690245104298,12689,"AAA"
2.02741551037872,-1.23902351183019,0.325125351439604,9.31566032191434,0.187284399275167,180.085141212162,12690,"AAA"
2.02235062903994,-1.34721430586563,0.119255185339492,9.47552078355693,0.206113772478547,182.781358636158,12691,"AAA"
2.00060295751384,-1.37343371104176,0.40881271318854,9.60714892313902,0.0965768647184913,181.569946957432,12692,"AAA"
2.01988389643272,-1.25149461599405,0.200506074804496,9.5403492181445,0.158306009089633,177.643951092999,12695,"AAA"
2.00842545806983,-1.17446271882891,0.436733806262243,9.47275795985857,0.168798802136173,179.869433921281,12696,"AAA"
2.00780827879743,-1.20110487234162,0.55071508834049,9.42711461900483,0.17277519723886,179.535901530076,12697,"AAA"
2.00272122903247,-1.14175507823532,0.576835182399868,9.49422255068983,0.172832074944199,179.286852350651,12698,"AAA"
1.95312163018109,-1.06311995237581,0.679086273551524,9.53531917380466,0.000000334299630928403,182.450643732721,12699,"AAA"
1.95990627098219,-0.971338872863654,0.80813743462454,9.5879403646577,0.00000124107423084226,183.849184618385,12702,"AAA"
1.94837288341083,-0.945804055906431,0.841263178071975,9.5088474757551,0.000000107497920356646,186.90255860382,12703,"AAA"
1.96113445626328,-0.962242594812032,0.806836932817402,9.46198235973275,0.000000537560890354835,185.161122096671,12704,"AAA"
1.95006572926932,-0.942224868448771,0.846013739505964,9.45971779237276,0.00000000531564438241227,186.73581012575,12705,"AAA"
1.88651245545561,-0.352952025544763,1.84836717307601,9.62914833887041,0.178657305603137,184.19499273065,12706,"AAA"
1.88878758930194,-0.33388749699224,1.8398041259355,9.7056269222118,0.165211991491537,185.957823664457,12709,"AAA"
1.89720345962453,-0.420163225176078,1.73360033404538,9.73549179523541,0.178749835813184,184.823288002236,12710,"AAA"
1.99996226524262,-1.34819218627695,1.39186634142155,9.20917586442375,0.0000000218518236211738,194.501684843816,12711,"AAA"
1.88513318240523,-0.674400837233148,2.34866036944009,9.65096956703895,0.178917349281986,187.588998085087,12712,"AAA"
1.95360143315747,-1.19833563054276,1.18156756940897,9.43561200950671,0.00000208123664645984,191.746683479557,12713,"AAA"
1.87307416125276,-0.452809709335603,2.32923744300759,9.63221877681656,0.186484712831559,191.604016686867,12716,"AAA"
1.87360571307727,-1.31790028450264,3.25778503776109,9.62850149440536,0.189935920948266,192.530786230437,12717,"AAA"
1.88313093039402,-0.389432182677042,2.26596398573143,9.57452842630101,0.191883362975387,191.594054687949,12718,"AAA"
1.93112998523675,-0.483645705886538,1.62126449828442,9.5540394469724,0.175791152481278,185.250083287451,12719,"AAA"
1.97859579132259,-1.48151638580725,1.32514272922508,9.46973047456331,0.000000522830355313933,201.671169999336,12720,"AAA"
1.90840473869598,-0.617691314477194,2.11866983214706,9.71062388273972,0.182770178985648,192.446796254431,12723,"AAA"
