"beta0","beta1","beta2","tau","TIME_PERIOD"
2.92212998510343,-2.34098846354285,-1.82245858807437,46.5643538565188,13823
2.31929301168052,10232.0974990928,-10255.4178968339,2.58898357722157,13824
2.07808547133754,-145109.803589554,145068.658149839,0.933053978742129,13825
3.12661584233098,-2.54696682895815,-1.90482529228251,56.2463837818449,13826
2.23016022841182,-159317.659382939,159255.117836248,1,13829
2.31598826279154,5267.9126061702,-5291.21214903431,2.86746324835838,13830
3.0315460469251,-2.43339496389532,-1.88248849982319,54.2948296702891,13831
2.76692662505967,-2.14694178874303,-2.16804986630954,39.6441237653793,13832
2.82088409647537,-2.21683156170568,-2.04001365127791,45.5191792759659,13833
1.94126876922172,7662.21877437416,-7680.59054894753,2.61618894397876,13836
2.94227458763464,-2.36647158132428,-1.74778206412567,55.4666145339726,13837
2.77622608780569,-2.18669265024338,-1.94173675522985,45.7469845572938,13838
2.72241997851368,-2.15190514449523,-1.81518945346317,44.325571981437,13839
3.02154539103214,-2.46122751139193,-1.66283350644377,58.3704162910744,13843
2.01988575938909,-134019.758478237,133977.911122673,0.935534941089469,13844
3.05063713686736,-2.42814183272491,-2.20341120897798,51.6149184665356,13845
2.17673911520692,-169390.025729959,169331.551712594,1,13846
2.81197037713614,-2.16512864494483,-2.29256895465543,42.0353820456742,13847
2.81610012932842,-2.19628541074704,-2.16203402011479,44.3759551957051,13850
2.83097822145763,-2.22250614799094,-2.34951417987495,43.3587253513421,13851
2.38445581523987,137679.776008907,-137718.824667117,2.13411797158922,13852
2.87279882523916,-2.35158484814941,-1.64743840615969,47.8039674581478,13853
2.32477608862968,6183.44433781479,-6206.61066215444,2.77511234765497,13854
3.12471061572901,-2.6207591380835,-1.61609915374256,57.8861996672842,13857
2.88578841111485,-2.35052467943347,-1.82907494814053,43.0322683453966,13858
3.24278575777187,-2.74048494241551,-1.5640383062341,68.6564068396773,13859
2.43295602262137,132243.767671708,-132283.070656985,2.14366572569392,13860
2.54847120473375,142815.318491628,-142861.73681667,2.18371819554943,13861
2.91890771300503,-2.3722488195351,-1.98758259717319,45.255048011391,13864
3.05846467734879,-2.48215926174255,-2.23665382503165,48.9221834410346,13865
2.30919220301077,-209585.287978474,209519.473220724,1,13866
2.378365960098,196911.96425977,-196996.860839387,1,13867
2.89694153467585,-2.32691035179735,-2.20068801817712,42.1229980693037,13868
2.9089747956989,-2.34041138755701,-2.03993481505377,42.1339945006979,13872
-4.68011760008551,5.14903898752807,14.7240331676882,422.616739833781,13873
3.15479570983367,-2.62542671299028,-1.74168125256812,60.5710387970401,13874
2.86135192964567,-2.28834125141647,-2.16931734327801,43.1864976135049,13875
-51.9548473217354,52.4047649436135,72.6154880284419,1007.15347202304,13882
2.01353382411197,160982.312479645,-161037.876702121,1,13885
2.0037773072532,-140607.119687394,140561.0243528,0.911346108402593,13886
1.81666656179684,-123549.055245073,123513.244392097,0.983795769512802,13887
2.20194691979343,5563.10211257423,-5586.89654144862,2.86106717665134,13888
2.98064488082512,-2.37862351044712,-2.96841499755231,41.7602426162834,13889
2.93096464791229,-2.34541962897148,-2.7191973920571,43.359637147491,13893
3.00496387993432,-2.43553348472694,-2.8303235129831,44.7143512548082,13894
2.21186986664598,161558.765431527,-161629.064045679,1,13895
2.51072326168304,258240.555303701,-258356.907202078,1,13896
1.9748828075831,-138295.512536726,138245.93980452,0.911006633342058,13899
2.36050805054672,129626.730263918,-129671.177722978,2.186331857907,13900
2.95562678141899,-2.3999352889156,-3.18809674708482,39.9077251758194,13901
-44.4979345037741,44.7568105731178,65.2413317371052,903.53198298988,13902
2.99171984976109,-2.5260540620702,-2.44853568561859,43.8863699527829,13903
2.18389120236434,-137628.833491588,137576.692794287,0.975114642031719,13906
3.10812424094915,-2.65295796086375,-2.6158901921637,45.2140663672541,13907
2.24587925816623,-161631.240596373,161560.604281646,1,13908
3.01610200355889,-2.57338969356338,-2.42642351725384,45.635944900143,13909
2.57256440861936,142286.378545693,-142338.51679143,2.21379229513005,13910
2.93667370623819,-2.45836250070448,-2.3742503934437,42.8381404756869,13913
3.21382200398403,-2.76077399857909,-2.08264631541597,57.0244293881125,13914
2.94104678715751,-2.4325971901318,-2.57137590319653,44.2687612754518,13915
3.01531936851037,-2.53900018874041,-2.43519172067966,46.0137719790622,13916
2.49892969884469,-214511.923931446,214413.566966271,1,13917
1.91524539503846,-125535.791443618,125491.7604307,0.94358494070711,13921
1.70398001320721,-121444.636195626,121408.080529777,0.94353373498184,13922
2.96173998911797,-2.4704250703788,-2.41809694623054,42.6480518725811,13923
2.00986773743498,-141145.515410311,141099.561918196,0.941215266106819,13924
-13.9640855512812,14.3150560523649,27.5496177447649,594.831690365909,13927
-8.30845341786386,8.6571058254597,20.1254384064785,494.098396089839,13928
2.92499570784054,-2.36522147377275,-2.83910148059368,39.4317228023831,13929
2.93207253206476,-2.43046356158767,-2.28748290491543,43.2287565241305,13930
2.29757169680635,6263.49271919411,-6288.56744151122,2.80429677565611,13931
2.55736512950246,131669.194381642,-131713.749624784,2.17082558278701,13934
2.9460670520602,-2.37790047450172,-2.57778347022146,40.7863031070936,13935
2.95694945146021,-2.41928988672515,-2.36229126718943,44.3681102558629,13936
2.92065499012902,-2.34799334832468,-2.67114425501386,41.455534941353,13937
2.07270775142573,-169089.931616012,169026.711168372,1,13938
-691.369206452196,691.695930772511,757.780214679963,3389.49330218155,13941
2.44408252689702,140644.028451843,-140693.687113647,2.20765927056842,13942
2.11715873494112,188394.37297467,-188460.869718871,1,13943
2.28135231358903,-168192.13499036,168116.060315053,1,13944
2.20023689561,157844.603248546,-157920.814770388,1,13945
-2211.13862548634,2211.37486959092,2331.86188762442,5958.76955487137,13948
-1150.5388389794,1150.85882884675,1237.58187520926,5115.7226605697,13949
-1349.43071565844,1349.72789893773,1443.13857784472,4791.23453278226,13950
2.23250836118502,-173872.083240662,173797.710433091,1,13951
-2021.78069778637,2022.03451789152,2142.73676775581,6267.7419259782,13952
2.43778133200101,3507.31438906939,-3533.40991736795,3.06991285374843,13955
4.18578297991628,-3.62666200363843,-3.84759221543605,77.1795925492782,13956
-847.190400653339,847.534104832856,934.985828669745,5406.85008089231,13957
-965.468534853604,965.803272470936,1044.47040014898,4128.85936450263,13959
3.24968114318173,-2.65330526798141,-3.19698966210839,53.8214402279433,13962
-1901.58534305824,1901.88670774583,2010.89319400638,6059.64588002477,13963
1.90827435950378,4426.40215051613,-4446.84381562948,2.90089756889118,13964
2.16403172865855,-191593.17803712,191518.547803551,1,13965
3.3274546043251,-2.68607978097288,-3.66327711297576,51.0679123263392,13966
1.93813859968142,-120866.356264766,120818.791561814,0.964895712446001,13969
-1105.31257606485,1105.64908928738,1191.28663254029,4309.34140492293,13970
2.30034388770958,-187297.731502882,187221.425658915,1,13971
3.60868764284958,-3.04199895467607,-3.3259823310819,60.8153922598198,13972
3.49833360247984,-2.93238097227304,-3.33241509199308,57.2828582723373,13973
3.77869888439165,-3.27546177793927,-3.05728010616883,73.4080014956053,13976
2.10698412879557,5906.63667620245,-5930.99713170691,2.86732875316693,13977
2.54919615416732,142309.85947969,-142365.885203703,2.24802612652777,13978
3.12270187872638,-2.4256009536722,-3.82259021400107,40.5292348593601,13979
3.18291864515354,-2.56849594112699,-3.07572710803914,48.8689656909477,13980
-1185.58679160042,1185.93351801113,1273.89004070857,4548.12334634082,13983
3.11274580729393,-2.46508832559024,-3.47726985992597,43.4218653445794,13984
