"beta0","beta1","beta2","beta3","tau","tau2","TIME_PERIOD"
0.415527346989921,5300.12385675253,-5298.81906007328,6.7709131465551,0.751540880455059,267.051571744899,13823
0.354908973643052,-3864.77909015218,3868.15672954235,6.97466247831123,0.817174510747943,265.677148507043,13824
-0.657767009128485,-7573.92415022497,7605.74991820474,9.58878978841366,1.11691994907088,210.938728071609,13825
-4.01645718684109,4.57113949625877,-7.44570148165227,23.1435608642771,191.784326977406,288.657307994391,13826
0.299549087932311,0.267579051842711,-0.341475382702057,7.105497742776,48.5882439497434,263.300878061318,13829
2.11974053324087,-1.54272311876887,-6.0791551702983,7.29792076678705,86.1699585123069,114.581703827481,13830
2.37257416364392,-1.80463382011486,-1.59124051215501,1.48458177397758,52.3661195764603,164.925657772295,13831
0.168662293152897,4872.42682598214,-4864.57660697771,7.3922395728526,0.782663190581116,256.846209254095,13832
1.62145654767514,-1.07794542928173,-3.73649207628622,6.50069129392149,99.5493186127608,156.601099226392,13833
1.76495372663507,-1.21858293720965,-3.91376867203206,6.30704163797819,99.060004597892,148.93573899796,13836
0.719519274144932,-0.166988188141946,-6.26663002970301,11.174339284827,117.677060360375,167.349351211794,13837
1.26177105556305,-0.719651433978206,-5.16500784473467,8.84633843335994,115.68685957644,166.060440811284,13838
0.198009958421374,4186.59698976479,-4179.21717692442,7.09338023015912,0.788971221528791,269.578220158625,13839
0.154819626419129,-507.352313402897,510.403967370735,7.30179688415456,2.70878682776602,252.9038822106,13843
0.278132610166908,-3790.4721151293,3796.91471052733,7.1531025542068,0.768957804316139,274.187028450638,13844
-1.94036723805731,2.49549618355666,-7.25686351301103,18.3647042499631,146.754215388972,224.627734201336,13845
0.22438619087181,5605.80184034314,-5597.0108063412,7.3210442272575,0.78235177822036,266.880033250125,13846
0.282261523136038,-3952.36705479358,3957.83887538649,7.37526400630388,0.904085346867355,296.20251395217,13847
0.0257768215452271,5907.07527398189,-5894.43025074994,7.77590762665532,0.89869209677025,258.557216477765,13850
2.01470828583865,-1.45142889096878,-7.43658869325763,8.7541025367355,87.9508203077282,116.668726160819,13851
-5.00080997557683,5.50692050020945,-9.42340260167269,27.2047154338264,182.51094667141,275.852631328294,13852
-0.173680536497667,-6974.40840847415,6996.57256821904,8.48853745680817,0.903129355501349,239.706650544334,13853
0.301170824555335,5959.11299263857,-5952.90009139762,7.2543940729778,0.563306482014547,269.213123242999,13854
0.344751393604264,4683.95842915772,-4680.97626565025,7.11706723031329,0.724999179600472,268.681724344288,13857
2.15140998539439,-1.61292667043063,-5.80553564677652,7.34059160532915,87.6067482872879,118.40549113721,13858
0.267504833232025,-4244.84270158717,4249.37873083748,7.25541668177403,0.862486204414682,276.533959302204,13859
-3.62198563447684,4.1223332898932,-5.84833705346559,20.7528818235447,218.252363368244,321.000968766352,13860
1.09820797388045,-0.594306076265488,-4.81073766006126,9.27311550502063,111.698949880804,167.872067949659,13861
-3.17043262403999,3.67874357394565,-8.33383518303955,21.9935313988923,141.367372860191,215.98717754238,13864
-0.14171269489338,6634.25180627851,-6610.45682853086,8.63053281012462,0.711733658664509,252.758675851259,13865
0.432602499334145,0.101909159536668,-5.32378948887363,10.7278258349561,98.726101756722,161.691617641682,13866
1.94861274342199,-1.42489589164547,-1.73967616329315,3.30395304019671,64.4815503668983,179.174684161915,13867
1.71497840116876,-1.19456246363052,-8.89076167942303,11.719968934572,104.628167544531,132.565156715669,13868
-1.52735462897559,2.03821836493352,-6.21708896780598,16.6906316956536,136.014487151224,212.385169662243,13872
0.145689236486598,-4307.2596949691,4313.11299402977,7.73341103216494,1.00644600072282,255.89554030735,13873
2.37156759902346,-1.84274208477561,-2.22390400457168,2.668988798548,65.7983764467546,135.688745732038,13874
0.190056585158162,-4616.92190448289,4623.31803594548,7.49228108000233,0.775233381333636,269.338039207879,13875
0.199548623165913,4164.918271495,-4160.14590460304,7.88629493505799,1.00952226466721,309.955826076319,13882
0.188202142139097,22334.9271338187,-22333.1250784216,7.45401960500736,1.81480895029237,269.267748453591,13885
-6.79719371012194,7.32892394163583,-14.4032188831033,35.5579870022425,143.983616481909,222.368999992653,13886
-0.0890404255312575,4548.36793107508,-4538.00090398304,8.36390248804984,0.889511296503091,252.821493834742,13887
-0.535329773448892,1.05159518629003,-7.23263724390179,14.9088607104665,102.330898233114,169.544812785172,13888
2.62246499492071,-2.07893805749992,-5.05207976417603,4.13959914289565,61.401520229295,89.577855752936,13889
1.96564087588456,-1.43095483182683,-8.21728898540837,9.65138340745768,85.3232709004246,118.586682955505,13893
0.793497022152199,-0.265368834507803,-1.39188144391982,6.04046433640944,45.4516763452502,248.772498399854,13894
2.47267991194977,-1.9359788127877,-8.20410411788871,7.89843923579429,68.8522590943045,89.019949671518,13895
-0.211980803278246,-5543.57743594129,5556.79714507297,8.71021680816624,0.862293488409008,257.639524276899,13896
-1.74105714319446,2.28285574108486,-9.11822105444346,18.6640150125348,88.8700662706995,149.814103131906,13899
-1.65440595197595,1.91504135281145,4.54003909432262,6.01961517425646,368.15990877846,371.06914177082,13900
-3.67970108185562,3.9175726352232,5.59183597021126,8.3074856175668,447.362125819473,450.232952974897,13901
-0.226371937843276,4305.79885975157,-4294.67209450429,9.02521500259025,0.7611744926963,266.112430500483,13902
2.34662131118709,-1.88782894032703,-5.85165517069311,6.31009255032225,69.9246641542988,101.729358205858,13903
2.09498117775738,-1.65284778830586,-5.24241433976244,6.35405491098313,73.8106536240463,120.584363812739,13906
0.170825741790618,4260.00830139588,-4257.75567747457,7.84987030903333,0.742255545059618,285.093074820498,13907
