"train_mse","train_mae","test_mse","test_mae","r2","adj_r2","outlier_ct","TIME_PERIOD","Type"
0.00291435515022779,0.0431557723650256,0.00445426538323063,0.0583791548076451,0.99789193085541,0.985243515987874,0,12667,"AAA"
0.00303839439044467,0.0440048910505962,0.00461325388996464,0.0596947987873701,0.997755500400191,0.984288502801336,0,12668,"AAA"
0.00328518052162842,0.0455770704931351,0.00497957149888859,0.0621535209784855,0.997571141375162,0.982997989626134,0,12669,"AAA"
0.00267217607472485,0.0414538584869835,0.00405995957560657,0.0559006902985542,0.997986534921026,0.985905744447183,0,12670,"AAA"
0.00233917788077664,0.0388440381089641,0.00358990273974975,0.0522409038615968,0.998219059250455,0.987533414753182,0,12671,"AAA"
0.0024795804981623,0.0400315519541792,0.00376849859369394,0.0538206829655069,0.998100159443804,0.986701116106627,0,12674,"AAA"
0.00238608908487927,0.0393142800237936,0.00363503417808729,0.0527670700418408,0.998176815321177,0.987237707248241,0,12675,"AAA"
0.00238655274822049,0.0393062851176133,0.00363731401875987,0.0527744000062682,0.998165916732549,0.98716141712784,0,12676,"AAA"
0.00243127880910499,0.0396406397775542,0.00370068692507977,0.0532834463175245,0.998111073840341,0.986777516882387,0,12677,"AAA"
0.00214574834820356,0.0372731415227865,0.00329864330342074,0.0500250562220838,0.998316162681505,0.988213138770535,0,12678,"AAA"
0.00209123538657404,0.0368519336164289,0.00320785581727818,0.0493686679840161,0.9983369646619,0.9883587526333,0,12681,"AAA"
0.00212409204352778,0.0371597111693923,0.00324941700645552,0.0497512244473541,0.998309214142191,0.988164498995339,0,12682,"AAA"
0.00204754624753909,0.0365048390423959,0.00313236299615828,0.0488410275654593,0.99833569028974,0.988349832028182,0,12683,"AAA"
0.00162737057786568,0.0324783138299941,0.00253158145901201,0.0436506407659058,0.998643886065496,0.99050720245847,0,12684,"AAA"
0.00187957774709863,0.0349714958948193,0.00289195550212676,0.0468036703358074,0.99844150013549,0.989090500948428,0,12685,"AAA"
0.00170670067617269,0.033345431009895,0.00263787751221672,0.0446141182872732,0.998568773107797,0.989981411754579,0,12688,"AAA"
0.00156915005036805,0.0319201480343594,0.00245300545234723,0.0427992380343982,0.998686990587565,0.990808934112954,0,12689,"AAA"
0.00170114044595822,0.0333698985878062,0.00262982807591977,0.0444677282491925,0.998600114732694,0.990200803128861,0,12690,"AAA"
0.00176265247412165,0.0341254842847191,0.00268706932506815,0.0452412509763668,0.998610176540293,0.990271235782048,0,12691,"AAA"
0.00160122225205489,0.0322144933388606,0.0025108906223475,0.0432610511480703,0.998744106680199,0.991208746761391,0,12692,"AAA"
0.00192309633971183,0.0353774750726774,0.00298055248606251,0.0473312937682698,0.99849284945397,0.989449946177794,0,12695,"AAA"
0.00169842684881199,0.0332327066302316,0.00264790686308457,0.0445011518012938,0.998638773753957,0.990471416277698,0,12696,"AAA"
0.00168740505532871,0.0330845040712401,0.00263626278174878,0.0443865575020074,0.998632618939793,0.990428332578551,0,12697,"AAA"
0.0017096461077949,0.0332506695084693,0.00267828094199983,0.0447229681571032,0.998631353390084,0.990419473730591,0,12698,"AAA"
0.0014712889259689,0.0315788047710944,0.00228133027784199,0.0414876647718957,0.998813045153978,0.991691316077848,0,12699,"AAA"
