"beta0","beta1","beta2","tau","TIME_PERIOD","Type"
5.39282005735835,-3.45515781103986,-1.69317753234955,28.4979832951897,12667,"AAA"
5.38045470534943,-3.4456890465673,-1.27691529081916,31.0237636805112,12668,"AAA"
5.37736457871771,-3.44451256304769,-1.08403136684523,31.7957052436846,12669,"AAA"
5.3630850241831,-3.42669947107153,-1.35491495816176,31.545317735319,12670,"AAA"
5.3333832782405,-3.38584615116983,-1.79708753494507,29.1035628455669,12671,"AAA"
5.35140549538757,-3.4082695440836,-1.35326627832714,32.0714100859175,12674,"AAA"
5.35186575215103,-3.40918193240194,-1.47121156048286,31.4542568019538,12675,"AAA"
5.34230957452759,-3.39610746874696,-1.48471986999807,31.2218565987475,12676,"AAA"
5.3298564435798,-3.37814855346147,-1.41405789099129,31.4580439939381,12677,"AAA"
5.30862971485522,-3.34285134566555,-1.77544463672985,29.4761331409911,12678,"AAA"
5.29253804911466,-3.33225058748664,-1.67995451187149,30.2510810612087,12681,"AAA"
5.29961354130404,-3.33799778805375,-1.5833671408896,30.8909300707152,12682,"AAA"
5.27184610851485,-3.30664177028968,-1.5626196132041,31.0811404994494,12683,"AAA"
5.22836682060094,-3.2582421666376,-1.92903971638086,29.734550191357,12684,"AAA"
5.24450572953516,-3.26751815391365,-1.71225271630265,30.2910681069664,12685,"AAA"
5.23230211493055,-3.25419047664377,-1.78329013191214,30.3438402676748,12688,"AAA"
5.22024595279067,-3.23748583942538,-1.9109726439643,29.0980491178955,12689,"AAA"
5.26247847324536,-3.27833075148219,-1.73498047070798,30.1697990851767,12690,"AAA"
5.33866208026511,-3.39450157683209,-1.43307541322312,33.5821033915564,12691,"AAA"
5.33627939407023,-3.3461605256267,-2.01076267328342,29.1340397698223,12692,"AAA"
5.31830144947998,-3.33732327473431,-1.84738830903862,28.9585662423196,12695,"AAA"
5.29171194303456,-3.30626134874589,-1.91552200188422,29.0834793425631,12696,"AAA"
5.27238019719941,-3.28230513881341,-1.94391444656796,28.7429836290782,12697,"AAA"
5.28774988113989,-3.29613650891976,-2.00386568635153,28.380831492273,12698,"AAA"
5.25498428384122,-3.26646987968332,-2.32451130330147,27.2636029054746,12699,"AAA"
5.28313628418102,-3.2819074506009,-2.39385271887444,27.2409800441834,12702,"AAA"
5.25002717532765,-3.24799638226794,-2.50959105564276,27.0817060823651,12703,"AAA"
5.24276018389731,-3.23369778044582,-2.4508041305425,26.9809280964863,12704,"AAA"
5.23055477843517,-3.22040031853577,-2.55361720266712,26.6822184377622,12705,"AAA"
5.21254101799835,-3.18465395008037,-2.8205928385139,25.3116179913558,12706,"AAA"
5.25013850878287,-3.2295535214345,-2.79022454164888,25.9614377179698,12709,"AAA"
5.26516641724592,-3.24104124879658,-2.77580482410472,25.8203229489966,12710,"AAA"
5.2429907009993,-3.20626496712777,-2.935286047494,25.6845805274976,12711,"AAA"
5.23014150039732,-3.19321284523517,-2.86879911669515,25.8444196951827,12712,"AAA"
5.23017214702614,-3.19134074389976,-2.80299162605414,26.1532359077589,12713,"AAA"
5.2228264466356,-3.18026834156916,-2.94333841605037,26.292830434938,12716,"AAA"
5.22385514548446,-3.17375969772793,-2.97411708489853,26.3210703803661,12717,"AAA"
5.21171738184647,-3.15500557646019,-2.94852337405593,26.1708224715059,12718,"AAA"
5.23992874613915,-3.19850625549615,-2.65250799553786,26.265479343072,12719,"AAA"
5.31670195419521,-3.29058276616224,-2.46458843418785,30.5407583174717,12720,"AAA"
5.29419205646904,-3.25077194976739,-2.79250985224294,27.3492848861904,12723,"AAA"
5.28795103505675,-3.24498946072588,-2.66700864135751,27.3396284012739,12724,"AAA"
5.29296319790633,-3.30114158736121,-2.5062974164723,28.0377657231579,12725,"AAA"
5.29221778702759,-3.31517766666678,-2.46879248169026,28.1448321993188,12726,"AAA"
5.29205511912604,-3.33469927077708,-2.41139187502958,28.3472764780424,12727,"AAA"
5.29981047873347,-3.36864813439514,-2.30016011633901,29.022696278895,12730,"AAA"
5.19923117358334,-3.11410544955269,-2.61229010042504,27.2195267547521,12731,"AAA"
5.16093377225488,-3.06716983847744,-2.72792129776806,26.319154901817,12732,"AAA"
5.14148019285601,-3.02213529075153,-3.00646798273572,25.1484690644135,12733,"AAA"
5.11578416050934,-3.00862833392602,-2.9505868124876,25.4511525192923,12734,"AAA"
5.08698920470424,-2.96977589503265,-2.96189694414918,25.7141832439923,12737,"AAA"
5.06580098746084,-2.96678870423849,-2.67399242355039,27.2813940133729,12738,"AAA"
5.08690983098636,-2.98734522425985,-2.69961981508355,27.068297616264,12739,"AAA"
5.11301202660468,-3.01977640552575,-2.54736471348679,27.6761513384413,12740,"AAA"
5.09562912574478,-2.99618271486304,-2.63182942464486,27.3261985556704,12741,"AAA"
5.07453499975705,-2.97114851696605,-2.71538425567544,27.1696536675106,12744,"AAA"
5.05996460933601,-2.94780203854857,-2.75848990527869,26.8902367164911,12745,"AAA"
5.0587789585806,-2.94132354542201,-2.92690263993297,26.1686422299834,12746,"AAA"
5.04334224938913,-2.93705854633361,-2.99851028118118,25.7668804232255,12747,"AAA"
5.0096076692547,-2.90552794117926,-3.00101633454507,25.1631605679207,12748,"AAA"
5.04163250656932,-2.93649533133484,-2.89632361641655,25.3218523107567,12751,"AAA"
5.03094329063352,-2.93145385687347,-2.96465660763376,25.2928059023278,12752,"AAA"
5.00443632871302,-2.90852811384801,-3.03786995736201,24.9898655667548,12753,"AAA"
5.00741614098063,-2.90636500380867,-2.84941732465501,25.2743236179279,12754,"AAA"
5.01516225771025,-2.91091404639238,-2.948723972428,25.6515851548912,12755,"AAA"
4.97621820094467,-2.87835155774334,-3.10853874386842,25.2615764633651,12758,"AAA"
4.96900983536778,-2.86967790084353,-3.11375264288303,25.7786070553453,12759,"AAA"
4.94784796333313,-2.85414130212215,-2.94215732625761,26.1632538892614,12760,"AAA"
4.8772433289369,-2.78666475840741,-2.92674641970517,26.7235913090695,12761,"AAA"
4.84984825250502,-2.74977470712979,-2.83109414958814,27.3612494023259,12762,"AAA"
4.84041692334752,-2.75320397703464,-2.78924162476665,27.1036807364937,12765,"AAA"
4.81019625382176,-2.71616787412665,-2.75157060362518,27.1059903925712,12766,"AAA"
4.74847263232051,-2.65465599310987,-2.70919257846567,27.2937926705923,12767,"AAA"
4.74744867627489,-2.67490200738104,-2.37409099665894,28.5122481605394,12768,"AAA"
4.75936743907549,-2.69505933170017,-2.18689088070687,28.5196546196127,12769,"AAA"
4.76341977791317,-2.68340863763981,-2.38856091914412,28.3539197396137,12772,"AAA"
4.77672477744658,-2.65309740671643,-2.30832425449336,28.5739616095757,12773,"AAA"
4.82943250610784,-2.77805829511306,-1.83174239563057,33.0738715082221,12774,"AAA"
4.84536567471681,-2.8009570445091,-1.95990705739676,33.2985032598362,12775,"AAA"
4.94606644164357,-2.91116404052082,-1.92055014924465,37.5580478437149,12776,"AAA"
4.86728542891119,-2.82507480438557,-1.88627412351083,33.7192580952883,12779,"AAA"
4.84222769616453,-2.72303091616759,-2.42350258152508,29.1641645666071,12780,"AAA"
4.93518347380269,-2.90101843814485,-1.57460784020353,35.5238010093136,12781,"AAA"
4.94436285922803,-2.91976487423653,-1.56984872091834,35.7725125444237,12782,"AAA"
4.96211514112187,-2.96070858145701,-1.42899496629725,37.464802005155,12783,"AAA"
4.9596786626525,-2.88943785310085,-2.03138626972235,34.1357655118549,12786,"AAA"
4.90962435811728,-2.91319716317221,-1.42636661168947,37.44436593586,12787,"AAA"
4.91374493947074,-2.91131160830689,-1.35437806966618,37.2700140090642,12788,"AAA"
4.84343450920407,-2.82870491755519,-1.87290540032442,32.3568260727593,12789,"AAA"
4.81191485790235,-2.80670590839764,-1.92732935004805,32.1099018995356,12790,"AAA"
4.80180450664057,-2.81173924762901,-1.88770786122372,32.0428855317719,12793,"AAA"
4.77478217006843,-2.75690865930853,-1.8409801984543,32.1854572863552,12794,"AAA"
4.78445133931518,-2.76748557292948,-1.82885079572755,32.2155961067398,12795,"AAA"
4.74571747006434,-2.72773381166084,-2.07473311366482,30.509364036539,12796,"AAA"
4.69374212759366,-2.67464795156499,-1.95229217888153,30.4368034959929,12797,"AAA"
4.66385114435382,-2.64808639157925,-1.9603291212396,30.4320777862269,12800,"AAA"
4.64582682270169,-2.629879601988,-1.86657339427296,30.1704892896581,12801,"AAA"
4.54876594371148,-2.52642416250197,-1.88777748704381,28.8765648010441,12802,"AAA"
4.62700436985422,-2.61144784420405,-1.78432577575005,29.9922611913866,12803,"AAA"
4.64561496224775,-2.62432663870444,-1.90816681561956,29.2682447519564,12804,"AAA"
4.62514462279495,-2.60779916441428,-1.97425519888346,29.2302888454931,12807,"AAA"
4.53590365660254,-2.51718487804869,-1.97916519749939,27.8609696542949,12808,"AAA"
4.55258955779276,-2.54206284487619,-1.88189759142196,27.5770886879198,12809,"AAA"
4.56531531208331,-2.5647009949203,-1.68194202521909,28.3957997580371,12810,"AAA"
4.56699871200786,-2.55494533751684,-1.86513815856565,28.6135379968431,12811,"AAA"
4.55424076080927,-2.54110976370107,-1.81643440391935,28.6888337513105,12814,"AAA"
4.55390227207485,-2.55910293054195,-1.76413624017657,28.9293014969091,12815,"AAA"
4.49791777214676,-2.48948182822997,-1.70258352037819,28.6720269108352,12816,"AAA"
4.42809740801601,-2.40657477056362,-1.67595678256786,26.4976078254295,12817,"AAA"
4.3757951212421,-2.3611790096545,-1.67124141656155,26.7289884812718,12818,"AAA"
4.29537970378995,-2.28769159973194,-1.51287407791242,26.5861876379302,12821,"AAA"
4.33361981902018,-2.33108274284184,-1.284385348967,29.5120234345376,12822,"AAA"
4.27313287326808,-2.2647729394049,-1.47423317818268,27.4883647845244,12823,"AAA"
4.29326015651267,-2.28291061356809,-1.59828109967827,27.5093906459408,12824,"AAA"
4.37235960852702,-2.35678976129589,-1.72549153699198,27.5888568950436,12825,"AAA"
4.39694867940738,-2.38317514903357,-1.65261533616746,27.7594242030399,12828,"AAA"
4.40307803810538,-2.4044403915745,-1.449604013829,29.1773459126274,12829,"AAA"
4.4636108068369,-2.47319064466446,-1.32188614619638,32.9744806018415,12830,"AAA"
4.50358037482656,-2.51852039180589,-1.38908242620056,29.3633816693203,12831,"AAA"
4.57507639519489,-2.60465365226496,-1.40344490571247,28.3626496405493,12832,"AAA"
4.59220472267477,-2.61881417943229,-1.36700602523861,28.4673617765184,12835,"AAA"
4.61432906501654,-2.62783408239616,-1.57160528252763,27.0956355471553,12836,"AAA"
4.62128301793845,-2.62653885637182,-1.65794044353522,27.2646734292586,12837,"AAA"
4.65776170735023,-2.66054767363853,-1.6466447699165,27.498702106884,12838,"AAA"
4.65538978216445,-2.66189476611494,-1.55332574947035,27.0163997179475,12839,"AAA"
4.6296898560731,-2.63832941188006,-1.55106042805263,27.2098253217377,12842,"AAA"
