"train_mse","train_mae","test_mse","test_mae","r2","adj_r2","outlier_ct","TIME_PERIOD"
0.000301732155494276,0.0137114806713665,0.000536820803083772,0.0173981911537891,0.999007240127218,0.996028960508872,0,13823
0.000103112113172682,0.00720056505604025,0.00199551057779086,0.0376375753821397,0.999739593972364,0.998958375889456,0,13824
0.000382076007757579,0.016478803913054,0.581087370632988,0.480391746103064,0.997783501231833,0.991134004927333,0,13825
0.00019380575031141,0.0104295577985218,0.00163821008579977,0.0390114143658319,0.999386323838862,0.997545295355448,0,13826
0.000128670916552368,0.00823233343643617,0.00101875520920687,0.026153260222747,0.999593120034575,0.998372480138301,0,13829
0.000301755449136024,0.0109214924445292,0.000555177284150549,0.0215107468224072,0.999170042406215,0.99668016962486,0,13830
0.000137706499240798,0.00864633187392014,0.00150749777471614,0.0335482582571754,0.999577160967673,0.998308643870694,0,13831
0.00030941454712227,0.0133481041525681,0.00828173893128108,0.0590351571347709,0.998975375385844,0.995901501543377,0,13832
0.000431810020980861,0.0152101549135091,0.000505036602165629,0.0167197745456194,0.998539614530304,0.994158458121214,0,13833
0.000112256710440347,0.0085164316169517,0.0010660481179001,0.0275410988681279,0.999697945787207,0.99879178314883,0,13836
0.000394042095390968,0.0152312420639928,0.0010329764118748,0.0256886353808641,0.998670584966483,0.994682339865933,0,13837
8.71588578440202e-05,0.00805751297285339,0.0011534813696034,0.0312892804640976,0.999796888553725,0.999187554214902,0,13838
0.000220193051153856,0.0116341581720935,0.00844783361721066,0.0624546037190711,0.999319433983774,0.997277735935095,0,13839
0.000274608642663451,0.0118016968400295,5.44553176865745,0.973091179164098,0.998627443451178,0.99450977380471,0,13843
0.000558524143953547,0.0188180518641432,0.00749087315024744,0.0506946088260731,0.997625099128527,0.99050039651411,0,13844
0.000432372475850144,0.0158827464629845,0.00193277759327931,0.036045654228399,0.998554344345234,0.994217377380934,0,13845
0.000123143169570861,0.00848965821565521,0.0194323699504156,0.0931643962591912,0.999637689648161,0.998550758592643,0,13846
0.00078985228465892,0.0240235631769877,0.00857346729989521,0.0621966041224429,0.996199339250615,0.984797357002461,0,13847
0.000488322593778865,0.0179563414163044,0.0506631685725585,0.122433109431283,0.998196156253194,0.992784625012776,0,13850
0.000362322057253921,0.0170186911231196,0.00101899804083022,0.0291725011996637,0.99898058636752,0.995922345470081,0,13851
0.000310335891382597,0.0121196452075145,0.00247772810948498,0.0417794004460754,0.999008120301385,0.996032481205542,0,13852
0.000218193737407437,0.011843832328769,0.215227220364383,0.274639108683362,0.999021688041481,0.996086752165924,0,13853
0.000371327386251323,0.0138867443048129,0.00394999794727729,0.0426000227348866,0.998795180907363,0.995180723629452,0,13854
8.78908051817889e-05,0.008071048419871,0.00195336268576424,0.0377766372835779,0.99972466285492,0.998898651419678,0,13857
7.9033834671237e-05,0.00735061151484436,0.00177534501321038,0.0391147075756207,0.999843065152262,0.99937226060905,0,13858
0.000890658284318304,0.0242784614020274,0.0037022054720775,0.036713873587015,0.997459586572213,0.989838346288852,0,13859
0.000369404707424412,0.0148767763460693,0.00225486115224131,0.0447763870500925,0.999025105324342,0.996100421297368,0,13860
0.000413507882081802,0.0162757414482533,0.000709626239743139,0.0212806449582648,0.998643528594293,0.994574114377173,0,13861
0.000445856026807987,0.0170546273965229,0.0109288709042456,0.06608495427462,0.998245832973259,0.992983331893037,0,13864
0.000378992744534717,0.0142344854890545,0.135094882095957,0.214469749436348,0.99863953772082,0.994558150883281,0,13865
0.00052809695852146,0.0183854002888581,0.00455210866605394,0.047885700027174,0.996928706366046,0.987714825464185,0,13866
7.07954718192872e-05,0.00665595788253043,0.00199454009616487,0.0375044410831454,0.999837283801088,0.999349135204351,0,13867
0.000564716572275856,0.0180873040747327,0.000366898113705829,0.0158766981497964,0.998422637936659,0.993690551746636,0,13868
0.000332117656231119,0.0136773342125964,0.00263674061599535,0.0381423147542301,0.999205683024885,0.996822732099538,0,13872
0.000136997101573795,0.00927412923166526,0.00559317110279647,0.0544468723915765,0.999653690163467,0.998614760653866,0,13873
0.000125650707394394,0.00717275744273623,0.000839954720242969,0.0258650132163385,0.999687274031508,0.998749096126032,0,13874
0.000245611894185354,0.0124656973669623,0.00506230968534932,0.0462641657751989,0.999453494314293,0.997813977257171,0,13875
0.000721564714885606,0.0205503106419692,0.00904130004386775,0.0715602768554305,0.996161432049834,0.984645728199335,0,13882
9.09026796454831e-05,0.00752679322587816,150.337033029466,5.03988649691621,0.999802398790332,0.999209595161326,0,13885
0.000238195152190634,0.0120755686007714,0.0163863884264351,0.0827455612536374,0.999223324203694,0.996893296814778,0,13886
0.000708698440720177,0.0215163342694181,0.0146075697360291,0.0665027728393119,0.997834157783208,0.991336631132832,0,13887
0.000215252062464423,0.0106867080612884,0.0047802358816945,0.0476288335433985,0.999343442122405,0.997373768489618,0,13888
0.000367654494390076,0.0137221120980408,0.00104697521692945,0.026794339253219,0.999055567129591,0.996222268518363,0,13889
0.000304597195103245,0.0140889540783893,0.00137952655930751,0.0311762613379623,0.99936916052614,0.997476642104558,0,13893
0.000189917351574754,0.0106279266644905,0.00147084296812079,0.0324420240559414,0.999609071796922,0.99843628718769,0,13894
0.000280927615325328,0.0132483274852308,0.00102882087086756,0.02699154486528,0.999493510747783,0.997974042991132,0,13895
0.00062587604402109,0.0215830479940338,0.0258935108707876,0.0911229532689472,0.998407387659867,0.99362955063947,0,13896
0.000228923395294543,0.0123918923743443,0.0645283148467005,0.160261363047572,0.99899475677058,0.995979027082319,0,13899
