"train_mse","train_mae","test_mse","test_mae","r2","adj_r2","outlier_ct","TIME_PERIOD","Type"
0.0000128145069798767,0.00325340172198019,0.0000144631848900654,0.00327522049135691,0.999990730756763,0.999935115297339,0,12667,"AAA"
0.00000481675092696988,0.0020000018118575,0.00000513629681760284,0.00196199601081037,0.999996441806382,0.999975092644677,0,12668,"AAA"
0.0000027231396713432,0.0015037115513783,0.00000284152266313739,0.00146074976224337,0.999997986679504,0.999985906756528,0,12669,"AAA"
0.00000716965491605311,0.00244058811669784,0.0000075584738376497,0.00238300356264176,0.999994597717591,0.999962184023138,0,12670,"AAA"
0.0000189585691298547,0.00396808077786837,0.0000212043356549645,0.0039744139942819,0.999985565831229,0.999898960818603,0,12671,"AAA"
0.00000638454207315414,0.00230787556279594,0.00000679867848135422,0.00226313602485593,0.999995108199967,0.999965757399767,0,12674,"AAA"
0.00000834902213433522,0.00263821618968269,0.00000901731766371134,0.00260424419061103,0.99999362060313,0.999955344221913,0,12675,"AAA"
0.00000848888761988652,0.00265938085447021,0.00000921526677721573,0.00263149872343997,0.999993476227687,0.999954333593807,0,12676,"AAA"
0.00000707624993223334,0.0024290234777129,0.00000765272312231847,0.00239898249888401,0.999994502270345,0.999961515892412,0,12677,"AAA"
0.0000152916033069064,0.00356776513813567,0.0000172365160506035,0.00358785155953758,0.999988000190083,0.999916001330582,0,12678,"AAA"
0.0000121819882964795,0.00318626670856836,0.0000136075467318905,0.00319334365831932,0.999990312388,0.999932186716001,0,12681,"AAA"
0.00000949161389118875,0.00281374523471667,0.0000105304499201386,0.00281246721964382,0.999992444636953,0.999947112458668,0,12682,"AAA"
0.0000090497496049292,0.00274912005982381,0.0000100365644747292,0.00274695781386993,0.999992644080122,0.999948508560856,0,12683,"AAA"
0.0000208607921715182,0.0041714419195204,0.0000237082983289854,0.00421329322569689,0.999982616368187,0.99987831457731,0,12684,"AAA"
0.0000131990055761158,0.00331763847985789,0.0000148637626769814,0.0033389313963469,0.999989055707627,0.999923389953389,0,12685,"AAA"
0.0000142187857540172,0.00344397963781734,0.0000161381992641321,0.00348033866978865,0.999988076228697,0.999916533600878,0,12688,"AAA"
0.000000847524510359522,0.000842447731597973,0.00000109220931391845,0.000903650798624489,0.999999290821385,0.999995035749695,0,12689,"AAA"
0.000000372747035910181,0.000560363203836844,0.000000485366485476125,0.000603581267472032,0.999999693262784,0.99999785283949,0,12690,"AAA"
0.0000000523674775060672,0.0002070426917401,0.0000000706459746903308,0.000231525353094416,0.999999958709076,0.999999710963534,0,12691,"AAA"
0.000000833701537022719,0.00083572963715095,0.00000107621876070505,0.000897058898553768,0.9999993460994,0.999995422695802,0,12692,"AAA"
0.000000525578419461421,0.000663020074469778,0.000000677903979232177,0.000711635986605792,0.999999588098742,0.999997116691193,0,12695,"AAA"
0.000000670180515592099,0.000749145208684521,0.000000865236060721323,0.00080423723827035,0.999999462875126,0.999996240125881,0,12696,"AAA"
0.000000768430310613821,0.000800803416966422,0.000000990182887527424,0.000859721919881516,0.999999377305971,0.999995641141795,0,12697,"AAA"
0.000000971760275824791,0.000899107284237144,0.00000124944455497744,0.000965075392319524,0.999999222063326,0.999994554443281,0,12698,"AAA"
0.00000346204661961794,0.00168970607525565,0.00000443413814135674,0.00181394220209664,0.999997207011526,0.999980449080682,0,12699,"AAA"
0.0000040550327710535,0.00182857359544136,0.00000519424861076875,0.00196325403625879,0.999996758167396,0.99997730717177,0,12702,"AAA"
0.00000577128868201155,0.00217977817677634,0.00000739752785851366,0.0023424452672164,0.999995293776822,0.999967056437756,0,12703,"AAA"
0.00000497139160694999,0.00202166242591317,0.00000637671709933346,0.00217418945526783,0.999995918547307,0.999971429831152,0,12704,"AAA"
0.00000681392191147992,0.0023621452084952,0.00000874707489571122,0.00254474351897326,0.999994380852007,0.999960665964046,0,12705,"AAA"
0.000015002994259961,0.00346071424938948,0.0000195033578573774,0.0037873271785632,0.99998762678113,0.999913387467912,0,12706,"AAA"
0.0000127636491698506,0.00321394765772381,0.0000164617806418029,0.0034856746297309,0.999989648060688,0.999927536424819,0,12709,"AAA"
0.0000125744388086224,0.0031854283481198,0.0000162369626113523,0.00346012916027765,0.999989898643564,0.99992929050495,0,12710,"AAA"
0.0000205109269387879,0.00406472308483424,0.0000265355745808951,0.0044234032036202,0.999983202472588,0.999882417308115,0,12711,"AAA"
0.0000175165156615168,0.00376207527350775,0.0000226253047792076,0.00408592569007366,0.999985495755936,0.99989847029155,0,12712,"AAA"
0.0000146356108458678,0.0034485516118074,0.0000188505945869188,0.00373230058713178,0.999987802054881,0.999914614384169,0,12713,"AAA"
0.0000204296437969446,0.00408060372492591,0.0000262806121348659,0.00440931477846438,0.999982805918315,0.999879641428207,0,12716,"AAA"
0.00002252507837276,0.00428604590769993,0.000028955204941515,0.00462885833964845,0.999980953480334,0.999866674362337,0,12717,"AAA"
0.0000231600820599743,0.00434025340018646,0.0000297866925873645,0.0046932105928298,0.999980237736999,0.999861664158991,0,12718,"AAA"
0.0000155608326935799,0.00355883188111217,0.0000199290393613749,0.00383846532074114,0.999987071349017,0.99990949944312,0,12719,"AAA"
0.0000107042425108078,0.00300254806270434,0.0000135845163891048,0.00319831330270727,0.999991030088181,0.99993721061727,0,12720,"AAA"
0.0000266625619614233,0.0046952854559264,0.0000336560150695458,0.00500340899341179,0.999978142669779,0.999846998688453,0,12723,"AAA"
0.000020292598935619,0.00409522599677764,0.0000256396407031078,0.00436623042995375,0.99998332618205,0.999883283274347,0,12724,"AAA"
