"train_mse","train_mae","test_mse","test_mae","r2","adj_r2","outlier_ct","TIME_PERIOD","Knots"
0.0277137147080029,0.150288248017304,0.0612341906231595,0.157658507570296,0.9316133158146,0.908817754419466,0,13823,1
0.0000156721796677778,0.00376022595112511,0.00216516425170439,0.0307141954998606,0.999961327147489,0.999922654294978,0,13823,2
0.0000114803937730306,0.00282517089743497,0.00263496404608788,0.0346453471310056,0.999971670847032,0.999886683388127,0,13823,3
0.00000000000000000000000000000000246519032881566,0.0000000000000000222044604925031,0.00272315866563169,0.0343311170212766,1,NA,0,13823,4
0.0271011529920692,0.147457822638789,0.0612227368159586,0.154497404470079,0.933728005011052,0.911637340014736,0,13824,1
0.0000135576344878476,0.00309084251177483,0.0026952479599818,0.0346555068166073,0.999966846743196,0.999933693486391,0,13824,2
0.0000393239447689238,0.00522871379423182,0.00295463621640829,0.0379492959456801,0.999903838915214,0.999615355660855,0,13824,3
0.0000000000000000000000000000000616297582203915,0.000000000000000199840144432528,0.0031581762108841,0.0376114361702127,1,NA,0,13824,4
0.0251296804614276,0.141593943763518,0.0595371209549587,0.148550396539293,0.938225629562272,0.917634172749696,0,13825,1
0.0000115030263387431,0.00278227650729816,0.00344545817443914,0.0411939095979452,0.999971722990617,0.999943445981234,0,13825,2
0.0000342360437137796,0.00487874498370084,0.00311632703975046,0.0400784476951053,0.99991584015364,0.999663360614562,0,13825,3
0.0000000000000000000000000000000197215226305253,0.0000000000000000888178419700125,0.00324609328119218,0.0387769680851064,1,NA,0,13825,4
0.0243298563806777,0.139363518385004,0.0585188006782519,0.145339293439077,0.939748555143801,0.919664740191734,0,13826,1
0.0000122788670218818,0.00290771016526414,0.0038266320483712,0.0441101857412024,0.99996959211482,0.99993918422964,0,13826,2
0.0000288820485899558,0.00448105556079721,0.00338414501915375,0.0422669422374756,0.999928475321402,0.99971390128561,0,13826,3
0.0000000000000000000000000000000320474742746036,0.000000000000000111022302462516,0.0034797511928649,0.0407777127659574,1,NA,0,13826,4
0.0230424928622927,0.135844268204759,0.056505824341176,0.144067339581831,0.941532328560345,0.922043104747126,0,13829,1
0.00000889086537867544,0.00248809193956485,0.00376183051713314,0.0440542265921917,0.999977440453215,0.99995488090643,0,13829,2
0.0000211803419836128,0.00383736239841572,0.00332621102266873,0.0423186108943754,0.999946257321919,0.999785029287677,0,13829,3
0.0000000000000000000000000000000320474742746036,0.000000000000000111022302462516,0.00341020228220106,0.0409932978723406,1,NA,0,13829,4
0.0219625937274694,0.13257548666186,0.0545112153710892,0.140325414563807,0.943085279778304,0.924113706371072,0,13830,1
0.0000260694925517395,0.00487406667800996,0.00395710906449061,0.0461570235062075,0.999932442502315,0.99986488500463,0,13830,2
0.0000123500056673091,0.00293021785314365,0.00310219619768143,0.0415560017964458,0.999967995714622,0.999871982858489,0,13830,3
0.0000000000000000000000000000000320474742746036,0.000000000000000111022302462516,0.0031133671388379,0.0404469680851064,1,NA,0,13830,4
0.0238945746935833,0.140482912761356,0.0555792218334036,0.146524333093007,0.937931952224122,0.917242602965496,0,13831,1
0.0000148381225710077,0.0029009276089947,0.00293498845634457,0.0380871416443542,0.999961456802958,0.999922913605917,0,13831,2
0.0000003756207962707,0.000511023822427581,0.0030794239004273,0.0403199551581991,0.999999024295271,0.999996097181084,0,13831,3
0.0000000000000000000000000000000517689969051289,0.000000000000000155431223447522,0.00298346492161002,0.0401090957446808,1,NA,0,13831,4
0.0237111774333093,0.138541744772891,0.0560687397601402,0.14386333813987,0.939486701635944,0.919315602181258,0,13832,1
0.00000590029899749122,0.00222000807607752,0.00352986986634487,0.0433260085585116,0.999984941846322,0.999969883692645,0,13832,2
0.0000060828642693492,0.00205646060645865,0.00313598905488409,0.0417254312823582,0.999984475921473,0.999937903685892,0,13832,3
0.000000000000000000000000000000101072803481442,0.000000000000000199840144432528,0.00311867542915055,0.0408157978723405,1,NA,0,13832,4
0.0216941259552992,0.132544051910599,0.0538730754720161,0.138972710886806,0.943629400629975,0.924839200839967,0,13833,1
0.0000330776240552514,0.00500043806692398,0.00409732952829755,0.047115856269067,0.99991405021352,0.99982810042704,0,13833,2
0.00000077160468382759,0.000732426011082388,0.00318163218097324,0.0424368420378174,0.999997995041672,0.999991980166688,0,13833,3
0.0000000000000000000000000000000123259516440783,0.0000000000000000666133814775094,0.00309364168253802,0.0418431382978722,1,NA,0,13833,4
0.0213087616438356,0.132257534246575,0.0528643620754363,0.137971232876712,0.943886130405374,0.925181507207165,0,13836,1
0.000026895039938445,0.00428640019470403,0.00392064843956737,0.0455726558203412,0.999929175388553,0.999858350777105,0,13836,2
0.00000124724822565907,0.00093119959630048,0.003324585966376,0.0431336789104645,0.999996715533007,0.999986862132027,0,13836,3
0.000000000000000000000000000000157772181044202,0.00000000000000035527136788005,0.00318031392850004,0.0430325000000001,1,NA,0,13836,4
0.0219091142754146,0.134405623648162,0.0523520585094286,0.137110346070656,0.941966263857367,0.922621685143156,0,13837,1
0.0000233459182655835,0.0042034514906278,0.00353370498274477,0.04300882641202,0.999938160400115,0.99987632080023,0,13837,2
0.00000227755985120854,0.00125834935508153,0.00316878053692217,0.0414020854553374,0.999993967108584,0.999975868434334,0,13837,3
0.000000000000000000000000000000150376610057755,0.000000000000000333066907387547,0.00301871313059506,0.0409014893617023,1,NA,0,13837,4
0.0205946733237203,0.129034895457823,0.0508081565254066,0.131116762797405,0.945007465635409,0.926676620847211,0,13838,1
0.0000710362665890945,0.00731296354861346,0.00413193020922069,0.0468612005918418,0.999810316761517,0.999620633523035,0,13838,2
0.0000000254792715454724,0.00013309441610565,0.00281882494269155,0.0392027335501087,0.99999993196446,0.999999727857841,0,13838,3
0.0000000000000000000000000000000517689969051289,0.000000000000000155431223447522,0.00269020066899345,0.0387478191489363,1,NA,0,13838,4
0.0197322886806056,0.126262436914203,0.0496576535383407,0.130416149963951,0.94612123135212,0.928161641802827,0,13839,1
0.0000923411190884805,0.0083005646241666,0.00390018526578603,0.0445520491644793,0.999747863723637,0.999495727447273,0,13839,2
0.000000518512566612848,0.000600407315047358,0.00244482433200454,0.0358209762193678,0.99999858420789,0.999994336831562,0,13839,3
0.00000000000000000000000000000014791141972894,0.000000000000000310862446895044,0.00229106727328863,0.0353257579787235,1,NA,0,13839,4
0.0232131541456381,0.138330785868782,0.0536930729452444,0.141318817591925,0.938905742486143,0.918540989981524,0,13843,1
0.0000153306957607576,0.00341330367250843,0.00275502228280657,0.0360091168595636,0.99995965143432,0.999919302868641,0,13843,2
0.000000798730066915164,0.00074518885015542,0.00257676844520192,0.0355710824195471,0.999997897837576,0.999991591350303,0,13843,3
0.0000000000000000000000000000000714905195356542,0.000000000000000199840144432528,0.00244824715981167,0.0350068085106382,1,NA,0,13843,4
0.0232529389329489,0.136706705118962,0.0558027254016074,0.137733489545782,0.94175588220558,0.922341176274107,0,13844,1
