TIME_PERIOD,MAT,OBS_VALUE
2007-11-06,12,0.655
2007-11-06,24,0.771
2007-11-06,36,0.849
2007-11-06,48,0.995
2007-11-06,60,1.102
2007-11-06,72,1.181
2007-11-06,84,1.249
2007-11-06,96,1.352
2007-11-06,108,1.477
2007-11-06,120,1.583
2007-11-06,180,1.916
2007-11-06,240,2.133
2007-11-06,300,2.281
2007-11-06,360,2.378
2007-11-06,480,2.439
2007-11-07,12,0.655
2007-11-07,24,0.771
2007-11-07,36,0.845
2007-11-07,48,0.987
2007-11-07,60,1.091
2007-11-07,72,1.17
2007-11-07,84,1.234
2007-11-07,96,1.338
2007-11-07,108,1.467
2007-11-07,120,1.58
2007-11-07,180,1.916
2007-11-07,240,2.133
2007-11-07,300,2.285
2007-11-07,360,2.383
2007-11-07,480,2.442
2007-11-08,12,0.653
2007-11-08,24,0.766
2007-11-08,36,0.838
2007-11-08,48,0.972
2007-11-08,60,1.075
2007-11-08,72,1.147
2007-11-08,84,1.207
2007-11-08,96,1.312
2007-11-08,108,1.444
2007-11-08,120,1.556
2007-11-08,180,1.904
2007-11-08,240,2.12
2007-11-08,300,2.277
2007-11-08,360,2.374
2007-11-08,480,2.435
2007-11-09,12,0.653
2007-11-09,24,0.766
2007-11-09,36,0.833
2007-11-09,48,0.967
2007-11-09,60,1.071
2007-11-09,72,1.138
2007-11-09,84,1.195
2007-11-09,96,1.3
2007-11-09,108,1.435
2007-11-09,120,1.547
2007-11-09,180,1.894
2007-11-09,240,2.112
2007-11-09,300,2.271
2007-11-09,360,2.368
2007-11-09,480,2.429
2007-11-12,12,0.656
2007-11-12,24,0.767
2007-11-12,36,0.83
2007-11-12,48,0.963
2007-11-12,60,1.068
2007-11-12,72,1.139
2007-11-12,84,1.195
2007-11-12,96,1.292
2007-11-12,108,1.421
2007-11-12,120,1.534
2007-11-12,180,1.88
2007-11-12,240,2.094
2007-11-12,300,2.257
2007-11-12,360,2.352
2007-11-12,480,2.414
2007-11-13,12,0.646
2007-11-13,24,0.753
2007-11-13,36,0.818
2007-11-13,48,0.943
2007-11-13,60,1.049
2007-11-13,72,1.116
2007-11-13,84,1.172
2007-11-13,96,1.265
2007-11-13,108,1.393
2007-11-13,120,1.505
2007-11-13,180,1.853
2007-11-13,240,2.068
2007-11-13,300,2.232
2007-11-13,360,2.322
2007-11-13,480,2.387
2007-11-14,12,0.657
2007-11-14,24,0.763
2007-11-14,36,0.839
2007-11-14,48,0.979
2007-11-14,60,1.088
2007-11-14,72,1.155
2007-11-14,84,1.214
2007-11-14,96,1.305
2007-11-14,108,1.427
2007-11-14,120,1.538
2007-11-14,180,1.876
2007-11-14,240,2.09
2007-11-14,300,2.25
2007-11-14,360,2.339
2007-11-14,480,2.404
2007-11-15,12,0.639
2007-11-15,24,0.75
2007-11-15,36,0.816
2007-11-15,48,0.95
2007-11-15,60,1.058
2007-11-15,72,1.123
2007-11-15,84,1.181
2007-11-15,96,1.275
2007-11-15,108,1.407
2007-11-15,120,1.519
2007-11-15,180,1.863
2007-11-15,240,2.08
2007-11-15,300,2.241
2007-11-15,360,2.33
2007-11-15,480,2.396
2007-11-16,12,0.637
2007-11-16,24,0.739
2007-11-16,36,0.805
2007-11-16,48,0.936
2007-11-16,60,1.044
2007-11-16,72,1.103
2007-11-16,84,1.161
2007-11-16,96,1.252
2007-11-16,108,1.378
2007-11-16,120,1.491
2007-11-16,180,1.84
2007-11-16,240,2.059
2007-11-16,300,2.224
2007-11-16,360,2.312
2007-11-16,480,2.38
2007-11-19,12,0.637
2007-11-19,24,0.735
2007-11-19,36,0.811
2007-11-19,48,0.944
2007-11-19,60,1.049
2007-11-19,72,1.106
2007-11-19,84,1.163
2007-11-19,96,1.252
2007-11-19,108,1.374
2007-11-19,120,1.487
2007-11-19,180,1.833
2007-11-19,240,2.05
2007-11-19,300,2.219
2007-11-19,360,2.305
2007-11-19,480,2.373
2007-11-20,12,0.637
2007-11-20,24,0.74
2007-11-20,36,0.819
2007-11-20,48,0.954
2007-11-20,60,1.054
2007-11-20,72,1.112
2007-11-20,84,1.167
2007-11-20,96,1.257
2007-11-20,108,1.379
2007-11-20,120,1.492
2007-11-20,180,1.833
2007-11-20,240,2.05
2007-11-20,300,2.215
2007-11-20,360,2.301
2007-11-20,480,2.371
2007-11-21,12,0.627
2007-11-21,24,0.73
2007-11-21,36,0.805
2007-11-21,48,0.933
2007-11-21,60,1.024
2007-11-21,72,1.083
2007-11-21,84,1.135
2007-11-21,96,1.225
2007-11-21,108,1.347
2007-11-21,120,1.46
2007-11-21,180,1.806
2007-11-21,240,2.029
2007-11-21,300,2.194
2007-11-21,360,2.277
2007-11-21,480,2.349
2007-11-22,12,0.627
2007-11-22,24,0.73
2007-11-22,36,0.811
2007-11-22,48,0.932
2007-11-22,60,1.017
2007-11-22,72,1.083
2007-11-22,84,1.135
2007-11-22,96,1.222
2007-11-22,108,1.338
2007-11-22,120,1.445
2007-11-22,180,1.793
2007-11-22,240,2.012
2007-11-22,300,2.176
2007-11-22,360,2.258
2007-11-22,480,2.328
2007-11-26,12,0.638
2007-11-26,24,0.752
2007-11-26,36,0.85
2007-11-26,48,0.973
2007-11-26,60,1.062
2007-11-26,72,1.136
2007-11-26,84,1.192
2007-11-26,96,1.282
2007-11-26,108,1.402
2007-11-26,120,1.507
2007-11-26,180,1.848
2007-11-26,240,2.061
2007-11-26,300,2.226
2007-11-26,360,2.307
2007-11-26,480,2.374
2007-11-27,12,0.638
2007-11-27,24,0.767
2007-11-27,36,0.856
2007-11-27,48,0.971
2007-11-27,60,1.053
2007-11-27,72,1.127
2007-11-27,84,1.182
2007-11-27,96,1.277
2007-11-27,108,1.407
2007-11-27,120,1.518
2007-11-27,180,1.868
2007-11-27,240,2.087
2007-11-27,300,2.259
2007-11-27,360,2.344
2007-11-27,480,2.407
2007-11-28,12,0.637
2007-11-28,24,0.767
2007-11-28,36,0.846
2007-11-28,48,0.957
2007-11-28,60,1.034
2007-11-28,72,1.103
2007-11-28,84,1.16
2007-11-28,96,1.258
2007-11-28,108,1.398
2007-11-28,120,1.509
2007-11-28,180,1.865
2007-11-28,240,2.088
2007-11-28,300,2.277
2007-11-28,360,2.366
2007-11-28,480,2.427
2007-11-29,12,0.637
2007-11-29,24,0.767
2007-11-29,36,0.856
2007-11-29,48,0.972
2007-11-29,60,1.049
2007-11-29,72,1.117
2007-11-29,84,1.175
2007-11-29,96,1.269
2007-11-29,108,1.403
2007-11-29,120,1.513
2007-11-29,180,1.864
2007-11-29,240,2.084
2007-11-29,300,2.272
2007-11-29,360,2.357
2007-11-29,480,2.423
2007-11-30,12,0.628
2007-11-30,24,0.757
2007-11-30,36,0.846
2007-11-30,48,0.962
2007-11-30,60,1.038
2007-11-30,72,1.108
2007-11-30,84,1.164
2007-11-30,96,1.259
2007-11-30,108,1.389
2007-11-30,120,1.499
2007-11-30,180,1.843
2007-11-30,240,2.062
2007-11-30,300,2.249
2007-11-30,360,2.332
2007-11-30,480,2.403
2007-12-03,12,0.618
2007-12-03,24,0.737
2007-12-03,36,0.82
2007-12-03,48,0.932
2007-12-03,60,1.01
2007-12-03,72,1.08
2007-12-03,84,1.136
2007-12-03,96,1.231
2007-12-03,108,1.366
2007-12-03,120,1.477
2007-12-03,180,1.829
2007-12-03,240,2.049
2007-12-03,300,2.239
2007-12-03,360,2.318
2007-12-03,480,2.392
2007-12-04,12,0.602
2007-12-04,24,0.707
2007-12-04,36,0.791
2007-12-04,48,0.897
2007-12-04,60,0.979
2007-12-04,72,1.046
2007-12-04,84,1.101
2007-12-04,96,1.198
2007-12-04,108,1.332
2007-12-04,120,1.44
2007-12-04,180,1.799
2007-12-04,240,2.028
2007-12-04,300,2.224
2007-12-04,360,2.302
2007-12-04,480,2.379
2007-12-05,12,0.601
2007-12-05,24,0.711
2007-12-05,36,0.803
2007-12-05,48,0.927
2007-12-05,60,1.017
2007-12-05,72,1.094
2007-12-05,84,1.154
2007-12-05,96,1.247
2007-12-05,108,1.382
2007-12-05,120,1.486
2007-12-05,180,1.839
2007-12-05,240,2.067
2007-12-05,300,2.256
2007-12-05,360,2.336
2007-12-05,480,2.411
2007-12-06,12,0.607
2007-12-06,24,0.741
2007-12-06,36,0.833
2007-12-06,48,0.988
2007-12-06,60,1.083
2007-12-06,72,1.164
2007-12-06,84,1.232
2007-12-06,96,1.314
2007-12-06,108,1.449
2007-12-06,120,1.549
2007-12-06,180,1.894
2007-12-06,240,2.121
2007-12-06,300,2.303
2007-12-06,360,2.388
2007-12-06,480,2.457
2007-12-07,12,0.607
2007-12-07,24,0.738
2007-12-07,36,0.833
2007-12-07,48,0.991
2007-12-07,60,1.091
2007-12-07,72,1.164
2007-12-07,84,1.235
2007-12-07,96,1.319
2007-12-07,108,1.459
2007-12-07,120,1.559
2007-12-07,180,1.906
2007-12-07,240,2.134
2007-12-07,300,2.315
2007-12-07,360,2.4
2007-12-07,480,2.47
2007-12-10,12,0.608
2007-12-10,24,0.733
2007-12-10,36,0.828
2007-12-10,48,0.987
2007-12-10,60,1.083
2007-12-10,72,1.16
2007-12-10,84,1.233
2007-12-10,96,1.314
2007-12-10,108,1.455
2007-12-10,120,1.555
2007-12-10,180,1.907
2007-12-10,240,2.137
2007-12-10,300,2.318
2007-12-10,360,2.4
2007-12-10,480,2.471
2007-12-11,12,0.618
2007-12-11,24,0.738
2007-12-11,36,0.838
2007-12-11,48,1.002
2007-12-11,60,1.098
2007-12-11,72,1.18
2007-12-11,84,1.253
2007-12-11,96,1.335
2007-12-11,108,1.476
2007-12-11,120,1.574
2007-12-11,180,1.926
2007-12-11,240,2.152
2007-12-11,300,2.33
2007-12-11,360,2.413
2007-12-11,480,2.482
2007-12-12,12,0.599
2007-12-12,24,0.714
2007-12-12,36,0.806
2007-12-12,48,0.954
2007-12-12,60,1.044
2007-12-12,72,1.112
2007-12-12,84,1.18
2007-12-12,96,1.262
2007-12-12,108,1.408
2007-12-12,120,1.508
2007-12-12,180,1.874
2007-12-12,240,2.103
2007-12-12,300,2.284
2007-12-12,360,2.362
2007-12-12,480,2.435
2007-12-13,12,0.608
2007-12-13,24,0.739
2007-12-13,36,0.816
2007-12-13,48,0.954
2007-12-13,60,1.045
2007-12-13,72,1.107
2007-12-13,84,1.171
2007-12-13,96,1.253
2007-12-13,108,1.401
2007-12-13,120,1.507
2007-12-13,180,1.878
2007-12-13,240,2.115
2007-12-13,300,2.293
2007-12-13,360,2.371
2007-12-13,480,2.443
2007-12-14,12,0.608
2007-12-14,24,0.734
2007-12-14,36,0.813
2007-12-14,48,0.959
2007-12-14,60,1.059
2007-12-14,72,1.128
2007-12-14,84,1.2
2007-12-14,96,1.282
2007-12-14,108,1.433
2007-12-14,120,1.541
2007-12-14,180,1.909
2007-12-14,240,2.146
2007-12-14,300,2.32
2007-12-14,360,2.4
2007-12-14,480,2.47
2007-12-17,12,0.607
2007-12-17,24,0.72
2007-12-17,36,0.8
2007-12-17,48,0.949
2007-12-17,60,1.056
2007-12-17,72,1.123
2007-12-17,84,1.201
2007-12-17,96,1.286
2007-12-17,108,1.434
2007-12-17,120,1.545
2007-12-17,180,1.91
2007-12-17,240,2.147
2007-12-17,300,2.322
2007-12-17,360,2.401
2007-12-17,480,2.47
2007-12-18,12,0.607
2007-12-18,24,0.714
2007-12-18,36,0.783
2007-12-18,48,0.932
2007-12-18,60,1.031
2007-12-18,72,1.106
2007-12-18,84,1.182
2007-12-18,96,1.268
2007-12-18,108,1.42
2007-12-18,120,1.532
2007-12-18,180,1.896
2007-12-18,240,2.135
2007-12-18,300,2.322
2007-12-18,360,2.401
2007-12-18,480,2.47
2007-12-19,12,0.607
2007-12-19,24,0.714
2007-12-19,36,0.77
2007-12-19,48,0.901
2007-12-19,60,1.003
2007-12-19,72,1.079
2007-12-19,84,1.152
2007-12-19,96,1.231
2007-12-19,108,1.377
2007-12-19,120,1.491
2007-12-19,180,1.858
2007-12-19,240,2.097
2007-12-19,300,2.29
2007-12-19,360,2.363
2007-12-19,480,2.436
2007-12-20,12,0.607
2007-12-20,24,0.715
2007-12-20,36,0.774
2007-12-20,48,0.912
2007-12-20,60,1.018
2007-12-20,72,1.093
2007-12-20,84,1.163
2007-12-20,96,1.244
2007-12-20,108,1.396
2007-12-20,120,1.515
2007-12-20,180,1.871
2007-12-20,240,2.109
2007-12-20,300,2.3
2007-12-20,360,2.374
2007-12-20,480,2.446
2007-12-21,12,0.607
2007-12-21,24,0.715
2007-12-21,36,0.784
2007-12-21,48,0.933
2007-12-21,60,1.047
2007-12-21,72,1.129
2007-12-21,84,1.2
2007-12-21,96,1.28
2007-12-21,108,1.431
2007-12-21,120,1.548
2007-12-21,180,1.893
2007-12-21,240,2.131
2007-12-21,300,2.32
2007-12-21,360,2.396
2007-12-21,480,2.467
2007-12-25,12,0.62
2007-12-25,24,0.736
2007-12-25,36,0.808
2007-12-25,48,0.964
2007-12-25,60,1.079
2007-12-25,72,1.169
2007-12-25,84,1.246
2007-12-25,96,1.32
2007-12-25,108,1.466
2007-12-25,120,1.577
2007-12-25,180,1.922
2007-12-25,240,2.157
2007-12-25,300,2.343
2007-12-25,360,2.421
2007-12-25,480,2.49
2007-12-26,12,0.617
2007-12-26,24,0.735
2007-12-26,36,0.801
2007-12-26,48,0.949
2007-12-26,60,1.058
2007-12-26,72,1.147
2007-12-26,84,1.222
2007-12-26,96,1.296
2007-12-26,108,1.441
2007-12-26,120,1.553
2007-12-26,180,1.899
2007-12-26,240,2.139
2007-12-26,300,2.328
2007-12-26,360,2.403
2007-12-26,480,2.473
2007-12-27,12,0.617
2007-12-27,24,0.73
2007-12-27,36,0.798
2007-12-27,48,0.949
2007-12-27,60,1.054
2007-12-27,72,1.145
2007-12-27,84,1.222
2007-12-27,96,1.295
2007-12-27,108,1.437
2007-12-27,120,1.549
2007-12-27,180,1.898
2007-12-27,240,2.139
2007-12-27,300,2.325
2007-12-27,360,2.401
2007-12-27,480,2.471
2007-12-28,12,0.603
2007-12-28,24,0.705
2007-12-28,36,0.761
2007-12-28,48,0.905
2007-12-28,60,1.009
2007-12-28,72,1.096
2007-12-28,84,1.169
2007-12-28,96,1.243
2007-12-28,108,1.386
2007-12-28,120,1.502
2007-12-28,180,1.849
2007-12-28,240,2.093
2007-12-28,300,2.287
2007-12-28,360,2.36
2007-12-28,480,2.432
2008-01-04,12,0.601
2008-01-04,24,0.685
2008-01-04,36,0.739
2008-01-04,48,0.868
2008-01-04,60,0.973
2008-01-04,72,1.05
2008-01-04,84,1.117
2008-01-04,96,1.197
2008-01-04,108,1.345
2008-01-04,120,1.47
2008-01-04,180,1.823
2008-01-04,240,2.066
2008-01-04,300,2.27
2008-01-04,360,2.339
2008-01-04,480,2.414
2008-01-07,12,0.599
2008-01-07,24,0.678
2008-01-07,36,0.729
2008-01-07,48,0.86
2008-01-07,60,0.968
2008-01-07,72,1.049
2008-01-07,84,1.116
2008-01-07,96,1.193
2008-01-07,108,1.341
2008-01-07,120,1.467
2008-01-07,180,1.832
2008-01-07,240,2.075
2008-01-07,300,2.277
2008-01-07,360,2.346
2008-01-07,480,2.422
2008-01-08,12,0.589
2008-01-08,24,0.673
2008-01-08,36,0.728
2008-01-08,48,0.856
2008-01-08,60,0.964
2008-01-08,72,1.044
2008-01-08,84,1.116
2008-01-08,96,1.194
2008-01-08,108,1.341
2008-01-08,120,1.467
2008-01-08,180,1.839
2008-01-08,240,2.087
2008-01-08,300,2.286
2008-01-08,360,2.355
2008-01-08,480,2.433
2008-01-09,12,0.588
2008-01-09,24,0.663
2008-01-09,36,0.722
2008-01-09,48,0.851
2008-01-09,60,0.955
2008-01-09,72,1.034
2008-01-09,84,1.109
2008-01-09,96,1.194
2008-01-09,108,1.341
2008-01-09,120,1.471
2008-01-09,180,1.847
2008-01-09,240,2.101
2008-01-09,300,2.3
2008-01-09,360,2.37
2008-01-09,480,2.453
2008-01-10,12,0.569
2008-01-10,24,0.638
2008-01-10,36,0.697
2008-01-10,48,0.82
2008-01-10,60,0.924
2008-01-10,72,1.001
2008-01-10,84,1.075
2008-01-10,96,1.162
2008-01-10,108,1.314
2008-01-10,120,1.444
2008-01-10,180,1.831
2008-01-10,240,2.088
2008-01-10,300,2.298
2008-01-10,360,2.371
2008-01-10,480,2.455
2008-01-11,12,0.549
2008-01-11,24,0.607
2008-01-11,36,0.667
2008-01-11,48,0.792
2008-01-11,60,0.895
2008-01-11,72,0.97
2008-01-11,84,1.046
2008-01-11,96,1.137
2008-01-11,108,1.295
2008-01-11,120,1.43
2008-01-11,180,1.823
2008-01-11,240,2.084
2008-01-11,300,2.3
2008-01-11,360,2.379
2008-01-11,480,2.463
2008-01-15,12,0.559
2008-01-15,24,0.609
2008-01-15,36,0.669
2008-01-15,48,0.797
2008-01-15,60,0.898
2008-01-15,72,0.975
2008-01-15,84,1.052
2008-01-15,96,1.143
2008-01-15,108,1.298
2008-01-15,120,1.43
2008-01-15,180,1.82
2008-01-15,240,2.077
2008-01-15,300,2.295
2008-01-15,360,2.371
2008-01-15,480,2.461
2008-01-16,12,0.547
2008-01-16,24,0.589
2008-01-16,36,0.646
2008-01-16,48,0.766
2008-01-16,60,0.869
2008-01-16,72,0.946
2008-01-16,84,1.022
2008-01-16,96,1.111
2008-01-16,108,1.259
2008-01-16,120,1.393
2008-01-16,180,1.79
2008-01-16,240,2.046
2008-01-16,300,2.269
2008-01-16,360,2.343
2008-01-16,480,2.437
2008-01-17,12,0.546
2008-01-17,24,0.584
2008-01-17,36,0.648
2008-01-17,48,0.773
2008-01-17,60,0.869
2008-01-17,72,0.954
2008-01-17,84,1.037
2008-01-17,96,1.127
2008-01-17,108,1.278
2008-01-17,120,1.411
2008-01-17,180,1.803
2008-01-17,240,2.06
2008-01-17,300,2.281
2008-01-17,360,2.355
2008-01-17,480,2.454
2008-01-18,12,0.545
2008-01-18,24,0.579
2008-01-18,36,0.643
2008-01-18,48,0.768
2008-01-18,60,0.863
2008-01-18,72,0.949
2008-01-18,84,1.034
2008-01-18,96,1.123
2008-01-18,108,1.271
2008-01-18,120,1.404
2008-01-18,180,1.799
2008-01-18,240,2.056
2008-01-18,300,2.274
2008-01-18,360,2.347
2008-01-18,480,2.451
2008-01-21,12,0.542
2008-01-21,24,0.569
2008-01-21,36,0.62
2008-01-21,48,0.739
2008-01-21,60,0.83
2008-01-21,72,0.915
2008-01-21,84,1.0
2008-01-21,96,1.095
2008-01-21,108,1.246
2008-01-21,120,1.378
2008-01-21,180,1.786
2008-01-21,240,2.05
2008-01-21,300,2.267
2008-01-21,360,2.339
2008-01-21,480,2.447
2008-01-22,12,0.513
2008-01-22,24,0.527
2008-01-22,36,0.579
2008-01-22,48,0.699
2008-01-22,60,0.79
2008-01-22,72,0.876
2008-01-22,84,0.96
2008-01-22,96,1.056
2008-01-22,108,1.202
2008-01-22,120,1.333
2008-01-22,180,1.758
2008-01-22,240,2.023
2008-01-22,300,2.244
2008-01-22,360,2.311
2008-01-22,480,2.427
2008-01-23,12,0.482
2008-01-23,24,0.497
2008-01-23,36,0.552
2008-01-23,48,0.691
2008-01-23,60,0.792
2008-01-23,72,0.881
2008-01-23,84,0.97
2008-01-23,96,1.071
2008-01-23,108,1.222
2008-01-23,120,1.353
2008-01-23,180,1.78
2008-01-23,240,2.049
2008-01-23,300,2.267
2008-01-23,360,2.339
2008-01-23,480,2.45
2008-01-24,12,0.481
2008-01-24,24,0.507
2008-01-24,36,0.576
2008-01-24,48,0.724
2008-01-24,60,0.825
2008-01-24,72,0.923
2008-01-24,84,1.017
2008-01-24,96,1.12
2008-01-24,108,1.27
2008-01-24,120,1.401
2008-01-24,180,1.824
2008-01-24,240,2.086
2008-01-24,300,2.308
2008-01-24,360,2.383
2008-01-24,480,2.496
2008-01-25,12,0.51
2008-01-25,24,0.564
2008-01-25,36,0.657
2008-01-25,48,0.816
2008-01-25,60,0.919
2008-01-25,72,1.018
2008-01-25,84,1.111
2008-01-25,96,1.217
2008-01-25,108,1.362
2008-01-25,120,1.487
2008-01-25,180,1.894
2008-01-25,240,2.142
2008-01-25,300,2.345
2008-01-25,360,2.426
2008-01-25,480,2.537
2008-01-28,12,0.485
2008-01-28,24,0.524
2008-01-28,36,0.614
2008-01-28,48,0.761
2008-01-28,60,0.853
2008-01-28,72,0.951
2008-01-28,84,1.037
2008-01-28,96,1.147
2008-01-28,108,1.297
2008-01-28,120,1.421
2008-01-28,180,1.84
2008-01-28,240,2.086
2008-01-28,300,2.3
2008-01-28,360,2.373
2008-01-28,480,2.492
2008-01-29,12,0.484
2008-01-29,24,0.55
2008-01-29,36,0.663
2008-01-29,48,0.821
2008-01-29,60,0.91
2008-01-29,72,1.016
2008-01-29,84,1.1
2008-01-29,96,1.209
2008-01-29,108,1.356
2008-01-29,120,1.476
2008-01-29,180,1.88
2008-01-29,240,2.119
2008-01-29,300,2.326
2008-01-29,360,2.401
2008-01-29,480,2.52
2008-01-30,12,0.487
2008-01-30,24,0.549
2008-01-30,36,0.66
2008-01-30,48,0.805
2008-01-30,60,0.891
2008-01-30,72,0.992
2008-01-30,84,1.069
2008-01-30,96,1.176
2008-01-30,108,1.319
2008-01-30,120,1.438
2008-01-30,180,1.842
2008-01-30,240,2.081
2008-01-30,300,2.29
2008-01-30,360,2.359
2008-01-30,480,2.481
2008-01-31,12,0.486
2008-01-31,24,0.549
2008-01-31,36,0.662
2008-01-31,48,0.805
2008-01-31,60,0.892
2008-01-31,72,0.996
2008-01-31,84,1.074
2008-01-31,96,1.182
2008-01-31,108,1.324
2008-01-31,120,1.443
2008-01-31,180,1.853
2008-01-31,240,2.095
2008-01-31,300,2.306
2008-01-31,360,2.375
2008-01-31,480,2.497
2008-02-01,12,0.491
2008-02-01,24,0.55
2008-02-01,36,0.662
2008-02-01,48,0.801
2008-02-01,60,0.89
2008-02-01,72,0.987
2008-02-01,84,1.064
2008-02-01,96,1.173
2008-02-01,108,1.315
2008-02-01,120,1.436
2008-02-01,180,1.841
2008-02-01,240,2.078
2008-02-01,300,2.294
2008-02-01,360,2.356
2008-02-01,480,2.481
2008-02-04,12,0.514
2008-02-04,24,0.584
2008-02-04,36,0.706
2008-02-04,48,0.851
2008-02-04,60,0.941
2008-02-04,72,1.038
2008-02-04,84,1.119
2008-02-04,96,1.222
2008-02-04,108,1.359
2008-02-04,120,1.475
2008-02-04,180,1.863
2008-02-04,240,2.093
2008-02-04,300,2.307
2008-02-04,360,2.37
2008-02-04,480,2.493
2008-02-05,12,0.537
2008-02-05,24,0.611
2008-02-05,36,0.726
2008-02-05,48,0.867
2008-02-05,60,0.962
2008-02-05,72,1.056
2008-02-05,84,1.134
2008-02-05,96,1.235
2008-02-05,108,1.369
2008-02-05,120,1.481
2008-02-05,180,1.865
2008-02-05,240,2.096
2008-02-05,300,2.304
2008-02-05,360,2.366
2008-02-05,480,2.49
2008-02-06,12,0.512
2008-02-06,24,0.573
2008-02-06,36,0.664
2008-02-06,48,0.79
2008-02-06,60,0.882
2008-02-06,72,0.974
2008-02-06,84,1.045
2008-02-06,96,1.15
2008-02-06,108,1.294
2008-02-06,120,1.415
2008-02-06,180,1.821
2008-02-06,240,2.057
2008-02-06,300,2.277
2008-02-06,360,2.335
2008-02-06,480,2.461
2008-02-07,12,0.511
2008-02-07,24,0.574
2008-02-07,36,0.671
2008-02-07,48,0.806
2008-02-07,60,0.904
2008-02-07,72,0.995
2008-02-07,84,1.069
2008-02-07,96,1.174
2008-02-07,108,1.318
2008-02-07,120,1.433
2008-02-07,180,1.84
2008-02-07,240,2.073
2008-02-07,300,2.291
2008-02-07,360,2.353
2008-02-07,480,2.474
2008-02-08,12,0.503
2008-02-08,24,0.549
2008-02-08,36,0.651
2008-02-08,48,0.791
2008-02-08,60,0.894
2008-02-08,72,0.984
2008-02-08,84,1.061
2008-02-08,96,1.165
2008-02-08,108,1.315
2008-02-08,120,1.431
2008-02-08,180,1.848
2008-02-08,240,2.086
2008-02-08,300,2.305
2008-02-08,360,2.373
2008-02-08,480,2.49
2008-02-12,12,0.499
2008-02-12,24,0.549
2008-02-12,36,0.648
2008-02-12,48,0.789
2008-02-12,60,0.885
2008-02-12,72,0.97
2008-02-12,84,1.041
2008-02-12,96,1.147
2008-02-12,108,1.297
2008-02-12,120,1.412
2008-02-12,180,1.834
2008-02-12,240,2.069
2008-02-12,300,2.294
2008-02-12,360,2.358
2008-02-12,480,2.478
2008-02-13,12,0.507
2008-02-13,24,0.559
2008-02-13,36,0.659
2008-02-13,48,0.804
2008-02-13,60,0.901
2008-02-13,72,0.99
2008-02-13,84,1.06
2008-02-13,96,1.167
2008-02-13,108,1.32
2008-02-13,120,1.434
2008-02-13,180,1.851
2008-02-13,240,2.085
2008-02-13,300,2.305
2008-02-13,360,2.37
2008-02-13,480,2.49
2008-02-14,12,0.527
2008-02-14,24,0.585
2008-02-14,36,0.697
2008-02-14,48,0.852
2008-02-14,60,0.943
2008-02-14,72,1.04
2008-02-14,84,1.116
2008-02-14,96,1.216
2008-02-14,108,1.36
2008-02-14,120,1.472
2008-02-14,180,1.873
2008-02-14,240,2.103
2008-02-14,300,2.313
2008-02-14,360,2.379
2008-02-14,480,2.498
2008-02-15,12,0.529
2008-02-15,24,0.581
2008-02-15,36,0.688
2008-02-15,48,0.846
2008-02-15,60,0.939
2008-02-15,72,1.035
2008-02-15,84,1.114
2008-02-15,96,1.212
2008-02-15,108,1.351
2008-02-15,120,1.462
2008-02-15,180,1.865
2008-02-15,240,2.095
2008-02-15,300,2.304
2008-02-15,360,2.368
2008-02-15,480,2.49
2008-02-18,12,0.527
2008-02-18,24,0.581
2008-02-18,36,0.689
2008-02-18,48,0.846
2008-02-18,60,0.942
2008-02-18,72,1.036
2008-02-18,84,1.114
2008-02-18,96,1.212
2008-02-18,108,1.352
2008-02-18,120,1.462
2008-02-18,180,1.862
2008-02-18,240,2.09
2008-02-18,300,2.303
2008-02-18,360,2.365
2008-02-18,480,2.486
2008-02-19,12,0.528
2008-02-19,24,0.586
2008-02-19,36,0.696
2008-02-19,48,0.856
2008-02-19,60,0.955
2008-02-19,72,1.046
2008-02-19,84,1.126
2008-02-19,96,1.226
2008-02-19,108,1.367
2008-02-19,120,1.476
2008-02-19,180,1.877
2008-02-19,240,2.105
2008-02-19,300,2.314
2008-02-19,360,2.378
2008-02-19,480,2.499
2008-02-20,12,0.527
2008-02-20,24,0.571
2008-02-20,36,0.663
2008-02-20,48,0.823
2008-02-20,60,0.92
2008-02-20,72,1.007
2008-02-20,84,1.085
2008-02-20,96,1.184
2008-02-20,108,1.328
2008-02-20,120,1.44
2008-02-20,180,1.848
2008-02-20,240,2.077
2008-02-20,300,2.289
2008-02-20,360,2.348
2008-02-20,480,2.471
2008-02-21,12,0.547
2008-02-21,24,0.597
2008-02-21,36,0.701
2008-02-21,48,0.87
2008-02-21,60,0.98
2008-02-21,72,1.071
2008-02-21,84,1.158
2008-02-21,96,1.253
2008-02-21,108,1.388
2008-02-21,120,1.497
2008-02-21,180,1.886
2008-02-21,240,2.113
2008-02-21,300,2.314
2008-02-21,360,2.377
2008-02-21,480,2.498
2008-02-22,12,0.547
2008-02-22,24,0.582
2008-02-22,36,0.672
2008-02-22,48,0.837
2008-02-22,60,0.944
2008-02-22,72,1.032
2008-02-22,84,1.114
2008-02-22,96,1.214
2008-02-22,108,1.353
2008-02-22,120,1.464
2008-02-22,180,1.86
2008-02-22,240,2.096
2008-02-22,300,2.303
2008-02-22,360,2.363
2008-02-22,480,2.486
2008-02-25,12,0.56
2008-02-25,24,0.608
2008-02-25,36,0.701
2008-02-25,48,0.868
2008-02-25,60,0.976
2008-02-25,72,1.068
2008-02-25,84,1.15
2008-02-25,96,1.25
2008-02-25,108,1.389
2008-02-25,120,1.497
